ticker,start_date,end_date,start_price,peak_price,duration_d,duration_td,return_pct,velocity,feat_dist_sma20,feat_dist_sma50,feat_dist_sma200,feat_rsi14,feat_bb_width,feat_bb_pos,feat_macd_hist_norm,feat_vol_spike,feat_atr_pct,feat_adx14,feat_roc5,feat_roc20,feat_trend_align,feat_sma20_slope
CTRA,2020-02-27,2020-03-10,10.1856,12.7716,12,8,25.39,2.11572,-0.08235689463755026,-0.14735547890205047,-0.2737592656254277,31.386237383716136,0.14128624807720286,-0.1352230728942632,-0.0022036077518082006,2.1698143487479444,0.04166224727530782,31.364446439861787,-0.11986969282866389,-0.05656411688770335,0.0,-0.0020673781562087212
ENPH,2020-02-27,2020-03-05,48.76,56.69,7,5,16.26,2.32333,0.11784863090240005,0.3943459246308447,0.9140332933512693,60.40876413485288,0.7329465270266855,0.6438365477512182,0.008387476568529596,1.041757326925624,0.0856234659190283,44.7129696042073,-0.16990131208307602,0.4975428828308053,1.0,0.13884572678764218
MRVL,2020-02-27,2020-03-05,19.9905,24.2512,7,5,21.31,3.04485,-0.15600583584475525,-0.20136969795271872,-0.17396555663293475,25.70232721426777,0.25859417953630054,-0.2147968920100051,-0.0187387941621589,1.818582621735214,0.05220720268127827,33.33073959690724,-0.1822525467318924,-0.18094881293469378,0.0,-0.03882442364954164
GILD,2020-02-28,2020-03-06,54.6999,63.2645,7,5,15.66,2.23678,0.013479309555675386,0.04626101770494976,0.06935862537228905,52.950335610319655,0.15289081765643392,0.5869904058361928,0.005008637047729988,1.470146201374989,0.041810870837515106,25.23052518779744,-0.004878089065463276,0.08324209522138926,1.0,0.03014224889492234
NEM,2020-02-28,2020-03-06,37.372,43.9603,7,5,17.63,2.51841,-0.027085864582033096,0.01163284057272154,0.13772202813450243,45.38101468577859,0.19423648906850735,0.3566699111101125,-0.0012461376486396492,2.28376562282407,0.036922659068705344,39.391997602763475,-0.09728956974321146,-0.00756026375373664,1.0,0.01912847750701041
ZS,2020-03-12,2020-03-24,39.5,62.14,12,8,57.32,4.77637,-0.2558682815120523,-0.2830981793815901,-0.3425320593702093,28.977349940535362,0.7419595818342161,0.036567605917398605,-0.03756538209265137,1.2663734793801424,0.0969801035324014,58.399542280505976,-0.2597451359035928,-0.3468915294482584,0.0,-0.06753445475440989
AMZN,2020-03-16,2020-04-30,84.4575,123.7,45,32,46.46,1.03254,-0.1255306401420225,-0.1315982567640725,-0.08685592417689111,36.135800994852396,0.3340277397831222,0.07024334409069684,-0.018182224735115986,1.3973071755115152,0.05709168672933937,46.82563645966427,-0.06190130603184041,-0.2087808921739016,0.0,-0.046075939725504056
CRM,2020-03-16,2020-03-26,122.5015,152.4912,10,8,24.48,2.44811,-0.2668266644991198,-0.30017875858125764,-0.22339165144696413,26.21021820052195,0.5989058287597223,-0.10766472409633553,-0.037568712409854106,1.4917808374155739,0.09138600156093798,52.433060244709544,-0.1779645137393172,-0.34561719409848457,0.0,-0.060330759492216335
EWJ,2020-03-16,2020-03-30,37.8526,44.4825,14,10,17.52,1.25108,-0.17730257756775206,-0.23638228922926113,-0.2287923129275287,21.911102055327873,0.37326389694273227,-0.07737626501593389,-0.02118622847633198,0.47795162401166646,0.05017515289383534,63.275375540498516,-0.13421468730951835,-0.26056457362853025,0.0,-0.0544290951054599
FDX,2020-03-16,2020-03-26,81.0611,112.5128,10,8,38.8,3.87999,-0.3225718934345703,-0.37853796809437057,-0.41139270752504437,24.47140995032187,0.9507772791161284,-0.0008232902414774901,-0.04993029232454213,1.2479430015438966,0.10487031295939912,73.58570560876159,-0.21789128509207045,-0.42664884152786786,0.0,-0.08981065784022746
FTNT,2020-03-16,2020-04-08,15.14,21.836,23,17,44.23,1.92292,-0.2504876085933025,-0.31512300816987454,-0.17831665942868727,28.651057889120622,0.7137165355267681,0.03174581171910095,-0.038623928040085846,1.3037366040503646,0.09788640112197738,65.1306523842307,-0.13128294808603558,-0.36487957210995026,0.0,-0.08136795783358652
MSC,2020-03-16,2020-03-30,16.5,20.2,14,10,22.42,1.60173,-0.11044019567401066,-0.14458130852482218,-0.15704075462791417,29.143549351515972,0.24115429126986326,-0.014821910972505077,-0.01141557660195091,0.19607843137254902,0.05779220531513165,33.37083870669898,-0.1615853788548698,-0.1691843155634265,0.0,-0.03118226838340299
NFLX,2020-03-16,2020-04-16,29.884,43.917,31,22,46.96,1.51478,-0.1784580004717051,-0.15951115835678312,-0.07455405165408384,34.26070238267155,0.31992938799543064,-0.17897239374499208,-0.028049290624501993,1.3763543728991172,0.0806857787453943,32.637910712973785,-0.13752194064820022,-0.21440588698829255,1.0,-0.029628272942443745
TSCO,2020-03-16,2020-03-30,12.251,15.5593,14,10,27.0,1.92887,-0.24801085609580384,-0.26639595308096464,-0.30890884233584726,24.830570148042284,0.5167160216676979,-0.13827405711074345,-0.0369309885939432,1.161009762554811,0.09471493406105412,51.55476262961318,-0.16674882790507006,-0.3114087205016568,0.0,-0.05186384133539701
AFL,2020-03-18,2020-03-25,21.8877,31.8138,7,5,45.35,6.47859,-0.37877186126221374,-0.46906683270269794,-0.5075416151478397,22.433400975891445,1.1969062724752288,-0.009408803515289743,-0.05808475575133734,1.2339527193924265,0.1389563780556897,79.15765581497622,-0.3159173583613979,-0.5097961536798841,0.0,-0.11886141007137507
AMD,2020-03-18,2020-03-30,39.12,47.86,12,8,22.34,1.86179,-0.1516032363405019,-0.1987547291690721,0.03882996051953822,39.636632794024344,0.47371297281139646,0.12278045134999022,-0.021509537450139993,1.1091425157383634,0.10738025532756881,42.48348689947135,-0.14398253219266377,-0.3358234648823124,0.0,-0.07696850344696882
AVGO,2020-03-18,2020-03-26,14.4118,21.2312,8,6,47.32,5.9148,-0.3509987705053763,-0.42331142321116433,-0.4186640048770182,25.61223544292504,0.9273347901123302,-0.08320806687895581,-0.056317880794247946,2.2200045524524374,0.13776385272511127,66.17470982676161,-0.31751850826842964,-0.4682441357334617,0.0,-0.10158210032980519
CCL,2020-03-18,2020-03-26,9.2572,17.738,8,6,91.61,11.45161,-0.658872058418146,-0.7577095652099526,-0.7853468237185918,17.579186707154406,4.200006532221211,0.04013132166437899,-0.17144676043486384,2.2210894076544387,0.3989246873655755,87.50106722035977,-0.5724137824707433,-0.7829131590642673,0.0,-0.20949241348360714
CDNS,2020-03-18,2020-03-26,54.32,66.94,8,6,23.23,2.90409,-0.16559139520312363,-0.2316375267077184,-0.2151655705867599,36.06371315846983,0.45523107505598887,0.06405962747138434,-0.019160357301671854,1.0678174337123467,0.09081103891370455,58.137177597491586,-0.12710910984409518,-0.3211696829091163,0.0,-0.07557297657107576
ENPH,2020-03-18,2020-03-25,23.99,36.81,7,5,53.44,7.63413,-0.47726802925617234,-0.389495980468848,-0.1239697904538176,30.00952261787404,1.8177115759702267,-0.002294366712604415,-0.1479376173176664,1.003025029738478,0.2551062919528253,47.15244704520306,-0.4251138261615104,-0.5807410125947674,1.0,-0.07527780593650901
EWG,2020-03-18,2020-03-26,15.5786,18.9916,8,6,21.91,2.73849,-0.2714416180729062,-0.3458527614902684,-0.34821963956034985,21.924477172858303,0.7709655078022748,0.016744141299622563,-0.042106587634131276,0.9824031765433032,0.08212505920421485,70.34793488931214,-0.22183864669255937,-0.38881353517353545,0.0,-0.09130130758777433
EWP,2020-03-18,2020-03-26,15.0916,17.8734,8,6,18.43,2.30408,-0.2616136477695217,-0.3291124695356299,-0.3394750909625797,27.133135746638118,0.7994128284600289,0.05679400911698213,-0.041880305878483945,1.1971333502249324,0.0892067985943771,65.43206682050351,-0.19395019551893122,-0.3845108487440919,0.0,-0.09290849836321036
EWQ,2020-03-18,2020-03-26,16.9398,20.8386,8,6,23.02,2.87693,-0.26593730948502625,-0.33900928613074655,-0.3421381026024648,24.532639109583926,0.7683360222653564,0.028485639103641932,-0.04121100059231202,1.204722508905683,0.08615650182989777,67.01911550077153,-0.20610379141386614,-0.38140818920952724,0.0,-0.08996465084639127
FANG,2020-03-18,2020-03-26,12.1603,20.2802,8,6,66.77,8.34672,-0.6763190233572703,-0.7712253940864845,-0.8189309087033017,13.61128401651915,5.389862199462204,0.11233484579681446,-0.18943499564468752,1.3533437302572575,0.40501730945184744,68.62695957576979,-0.4061068014668895,-0.8025642368376735,0.0,-0.21500707918258977
GM,2020-03-18,2020-03-26,16.1709,21.7152,8,6,34.29,4.28572,-0.40005990767170596,-0.4700919598661741,-0.5223073617950794,21.76941294480774,1.1659987493325554,-0.07189863528124048,-0.06613503590101974,2.1507101247610803,0.14971766363003655,54.51246200253659,-0.35384628399543083,-0.5130314138411134,0.0,-0.10669537277964902
HAL,2020-03-18,2020-03-26,4.1543,6.3531,8,6,52.93,6.61605,-0.6513926829714152,-0.7549433669473009,-0.7718084230074386,13.347117833951856,4.972853384535876,0.12424850047895719,-0.16696961815681272,1.45922145996825,0.3379175826771823,84.8698528394956,-0.41123900187625984,-0.7909023092270873,0.0,-0.23085317467263522
HES,2020-03-18,2020-03-26,12.1603,20.2802,8,6,66.77,8.34672,-0.6763190057782532,-0.7712253770477998,-0.8189308972670135,13.611267335229499,5.3898625281761126,0.11233490056976325,-0.18943498027982347,1.3533437302572575,0.4050172895180423,68.62685005870956,-0.40610692085839173,-0.8025641479836834,0.0,-0.21500704773813373
HLT,2020-03-18,2020-03-26,55.9518,72.2595,8,6,29.15,3.64326,-0.36625055772855186,-0.44402505612101395,-0.42353229996038044,17.03350573952011,1.017347325086778,-0.06805639981422856,-0.0585492371867983,2.530417562067327,0.1491833881002662,63.23407714023623,-0.3010235636079023,-0.49616599673917017,0.0,-0.10829065111643144
IR,2020-03-18,2020-03-31,19.1182,24.6687,13,9,29.03,2.23325,-0.3358672694748412,-0.4210249991879811,-0.398076849634523,20.651127269342965,1.346804079228272,0.12450135316010184,-0.04772296869122723,0.7774751044551107,0.16112308226625846,69.62027899091942,-0.181779555692695,-0.4896441049895932,0.0,-0.12372069550641196
MRVL,2020-03-18,2020-03-26,16.7803,22.5489,8,6,34.38,4.2971,-0.2084249085616836,-0.29072455955608395,-0.3048438375650504,34.399999889461455,0.511564495601939,-0.01470348000283567,-0.026292444728458958,0.8062394363028655,0.11204960602592381,40.42577121121008,-0.21626506786138766,-0.31574738044278083,0.0,-0.06774186594471787
MU,2020-03-18,2020-03-26,33.8327,43.6831,8,6,29.12,3.63938,-0.2857511007144324,-0.35497669017961503,-0.2661478411359504,31.77301571970939,0.8647585797566698,0.037359708842532535,-0.04969719669175091,1.0940898059015958,0.135506371870375,67.08850406461829,-0.2065417722153161,-0.42173697939622556,0.0,-0.0988059509730228
NVDA,2020-03-18,2020-03-30,5.0507,6.6138,12,8,30.95,2.57905,-0.2077914402459873,-0.20544547678931951,0.004599153866330218,38.787722122607605,0.5812624964743442,0.04875144954347286,-0.03928288176749189,1.1613743800706546,0.12109604219779894,54.09743191044293,-0.1771003668836395,-0.35512766389842076,1.0,-0.0673697605601149
NXPI,2020-03-18,2020-03-26,58.3276,81.0587,8,6,38.97,4.87144,-0.4014243359439338,-0.4729826782267694,-0.41689960770021534,18.990129490054997,1.1132126987880948,-0.10242985977530672,-0.06845580260850684,2.037182925545984,0.1466220225968498,62.4138802849581,-0.355110234437764,-0.5196420132863342,0.0,-0.11034214018827582
ON,2020-03-18,2020-03-25,8.45,14.79,7,5,75.03,10.71851,-0.48907097083502676,-0.5878209727562869,-0.5830074376036146,21.78908130273109,1.528629093459456,-0.12619440986719946,-0.08442753278349531,1.4019320953931533,0.20549449755703783,75.02177300118022,-0.4392833456946065,-0.5956937816509225,0.0,-0.12497023536324303
