Signal,N_5d,HR_5d,MR_5d,Med_5d,t_5d,N_20d,HR_20d,MR_20d,Med_20d,t_20d,N_60d,HR_60d,MR_60d,Med_60d,t_60d
Multi_DoubleOversold,2115,58.01418439716311,0.9844233734333206,0.7562061253122643,8.765910750628185,2098,62.82173498570067,3.123924954594717,2.6137009495071584,15.434283012537357,2003,69.74538192710934,7.390318537199623,6.431425364441479,21.355941917330075
ROC21_Crash,4493,57.84553750278211,0.736221572680566,0.8808876072153637,8.87428168431845,4444,60.5985598559856,2.9879806633521415,2.6581022341991667,18.035733437203852,4171,63.965475905058746,6.427027793694133,5.513880610264921,21.76489522682003
RSI_Oversold,3056,58.40968586387435,0.9103697375616415,0.7389588292431304,9.902533874925945,3024,62.00396825396825,2.7280443196572173,2.3842284807193637,16.479629386840394,2860,68.00699300699301,6.507714461267383,5.659775072403816,22.9778047654869
Death_Cross,913,57.50273822562979,0.8501592980336394,0.5410051315087427,5.459485842395843,897,60.200668896321076,2.3446865895958195,1.823619795946585,7.874088524938735,876,60.273972602739725,3.5089261807567587,2.9917340966828188,6.781906562520351
Golden_Cross,1009,58.57284440039643,0.9838519612319168,0.6949521524834301,7.361112513768921,1008,59.226190476190474,1.898836214414625,1.5505101371508734,7.470870007527186,975,54.15384615384615,2.5440341263272477,1.3162199895728754,5.921983762742006
BB_Lower_Break,7548,52.92792792792793,0.3030529244708475,0.26669373704814037,5.575057206606843,7492,57.43459690336359,1.6667635473792808,1.3869223992914792,16.507185632423056,7096,62.739571589627964,4.624908599549684,3.6138858432290144,25.843796858841188
VolSpike_Bear,3990,56.84210526315789,0.6357960995215679,0.6319525857803043,7.7445255268586175,3973,57.337024918197834,1.6477314425862148,1.5511072409447602,11.518384939290788,3794,61.755403268318396,4.195670907003733,3.59785414570043,17.208475207442227
VolSpike_Bull,3431,52.579422908772955,0.3095069904400288,0.2093894337586999,3.3826277091090557,3415,57.452415812591504,1.6365807263516736,1.2971536796613892,9.67398980101672,3307,59.41941336558815,3.857222296741847,2.8258064639811398,13.507217910703897
Multi_SMA200_Volume,10440,54.85632183908046,0.3589977345542527,0.3402423600842308,8.114080244131772,10358,56.99942073759413,1.289464156249895,1.0974383517880826,16.34996509176617,9901,60.690839309160694,3.2606366149578085,2.757175732674577,24.355062129245145
Stoch_Oversold,17406,52.257842123405716,0.25811992876355094,0.19427202835838875,7.163127629464817,17269,55.457756673808554,1.2753297508627737,1.0082579241158518,18.822339950062112,16420,59.48233861144945,3.786522831969951,2.8073601627597977,32.898336207952816
