Kombination,Groesse,Rendite_%,CAGR_%,MaxDD_%,Sharpe,N_Trades,Hit_%,Payoff,Expect_%,AvgHold_d,MaxWin_%,Earned_%,Fees_€,Endkap_€,N_Signals
T50 + VSpike + BBlow,3,71.61,9.15,-23.16,0.61,133,42.9,1.93,1.26,28.4,121.64,59.4,5740.0,17160.67,246
VSpike + RSIovs + MACDx,3,70.34,9.02,-26.41,0.58,35,42.9,3.06,4.46,28.0,105.26,62.9,1640.0,17033.55,40
RSIpull + MACDx + ROChi,3,64.35,8.39,-21.38,0.57,25,60.0,2.98,8.59,34.5,51.57,72.0,1280.0,16435.01,78
RSIovs + MACDx,2,63.76,8.33,-29.97,0.47,116,41.4,2.63,2.85,27.4,100.59,62.1,5060.0,16375.64,207
T50 + VSpike + RSIpull,3,46.89,6.44,-37.2,0.41,210,41.9,1.78,0.91,25.5,106.0,57.6,8840.0,14689.47,578
RSIpull + MACDx + BBlow,3,46.4,6.38,-30.41,0.45,142,43.7,1.67,1.05,28.9,58.14,60.6,6100.0,14640.25,270
MACDx + BBlow,2,42.89,5.96,-32.76,0.43,145,42.8,1.66,0.84,29.1,58.14,61.4,6260.0,14288.62,314
RSIpull + ROChi,2,33.39,4.78,-21.51,0.35,38,42.1,1.93,2.19,30.2,51.57,63.2,1900.0,13339.08,101
T50 + RSIpull + BBlow,3,28.41,4.14,-50.53,0.3,215,43.3,1.48,0.4,24.0,75.71,56.7,9100.0,12840.91,728
T200 + T50 + BBlow,3,16.08,2.45,-60.46,0.22,224,37.9,1.57,-0.13,22.6,103.2,54.0,9460.0,11608.39,792
T50 + Align + BBlow,3,14.26,2.19,-60.62,0.21,225,40.9,1.49,0.09,22.1,104.05,53.8,9480.0,11425.7,765
VSpike + MACDx + BBlow,3,7.93,1.24,-35.91,0.16,78,44.9,1.55,0.85,28.6,38.97,62.8,3480.0,10792.68,96
T200 + MACDx + BBlow,3,-13.87,-2.39,-18.85,-0.4,32,43.8,1.12,-0.35,26.8,13.02,65.6,1320.0,8613.09,34
Align + VSpike + RSIovs,3,-18.03,-3.17,-41.81,-0.09,139,44.6,1.21,-0.1,32.7,27.18,59.0,6000.0,8197.22,413
T200 + VSpike + RSIovs,3,-18.97,-3.35,-55.22,-0.09,114,44.7,1.03,-0.56,28.8,31.94,59.6,5020.0,8102.57,334
Align + RSIpull + MACDx,3,-26.59,-4.89,-27.93,-0.93,30,26.7,0.72,-2.31,24.6,8.15,56.7,1220.0,7341.26,31
RSIovs + MACDx + BBlow,3,-31.03,-5.85,-40.07,-0.46,40,27.5,1.26,-2.14,23.5,13.52,52.5,1760.0,6896.52,52
T200 + Align + RSIovs,3,-41.34,-8.29,-55.34,-0.39,142,40.8,1.09,-0.88,27.7,27.25,56.3,6120.0,5866.06,374
Align + RSIovs + BBlow,3,-42.96,-8.7,-57.59,-0.32,147,44.2,1.16,-0.31,30.9,34.44,61.9,6300.0,5704.38,580
Align + RSIovs,2,-46.54,-9.66,-63.53,-0.39,144,42.4,1.14,-0.61,31.2,33.27,56.2,6160.0,5345.66,685
T200 + RSIovs,2,-50.52,-10.78,-63.53,-0.4,146,38.4,1.18,-0.92,26.1,28.99,53.4,6200.0,4948.14,682
T200 + RSIovs + BBlow,3,-56.44,-12.61,-67.16,-0.49,144,41.7,1.0,-1.02,25.7,28.15,54.9,6100.0,4355.86,475
