Strategie,Trigger,Filter,N_Filter,Rendite_%,CAGR_%,MaxDD_%,Sharpe,N_Trades,Hit_%,Payoff,Expect_%,AvgHold_d,MaxWin_%,Earned_%,Fees_€,Endkap_€,N_Signals
RSI30  |  SMA200,RSI30,SMA200,1,33.99,4.86,-33.46,0.34,197,41.6,1.49,0.24,28.0,138.45,53.3,8400.0,13399.1,781
RSI30  |  TrendAlign,RSI30,TrendAlign,1,25.0,3.69,-27.14,0.29,144,45.8,1.57,1.02,35.1,36.42,63.2,6300.0,12500.13,424
RSI30  |  SMA200 + TrendAlign,RSI30,SMA200 + TrendAlign,2,-3.7,-0.61,-31.75,0.04,121,43.0,1.45,0.28,34.2,24.62,61.2,5240.0,9629.88,292
RSI30  |  VolSpike + TrendAlign,RSI30,VolSpike + TrendAlign,2,-15.76,-2.74,-31.21,-0.14,77,49.4,0.87,-0.52,33.6,23.17,63.6,3420.0,8424.07,141
RSI30  |  SMA200 + BBsqueeze,RSI30,SMA200 + BBsqueeze,2,-16.56,-2.89,-23.54,-0.38,88,47.7,1.75,0.92,25.9,17.48,58.0,3560.0,8343.59,111
RSI30  |  VolSpike,RSI30,VolSpike,1,-22.38,-4.03,-46.89,-0.13,180,44.4,1.23,-0.06,33.4,40.91,59.4,7660.0,7762.2,958
B50  |  VolSpike + TrendAlign,B50,VolSpike + TrendAlign,2,-31.76,-6.01,-68.14,-0.12,240,45.4,1.35,0.38,23.9,59.87,52.1,9940.0,6823.64,1825
RSI30  |  VolSpike + BBsqueeze,RSI30,VolSpike + BBsqueeze,2,-33.08,-6.31,-36.13,-0.85,87,42.5,1.26,-0.14,27.1,13.49,59.8,3540.0,6692.43,97
RSI30  |  BBsqueeze,RSI30,BBsqueeze,1,-34.24,-6.57,-41.18,-0.54,174,43.7,1.68,0.55,27.1,23.51,60.3,7160.0,6575.68,545
RSI30  |  SMA200 + VolSpike,RSI30,SMA200 + VolSpike,2,-40.31,-8.03,-53.35,-0.39,82,35.4,1.02,-1.9,31.5,18.06,58.5,3620.0,5968.81,195
B100  |  VolSpike + TrendAlign,B100,VolSpike + TrendAlign,2,-40.95,-8.19,-73.57,-0.22,238,44.1,1.38,0.3,24.1,59.87,51.3,9780.0,5904.97,1707
B100  |  VolSpike + RSIbull,B100,VolSpike + RSIbull,2,-48.45,-10.19,-72.22,-0.25,263,46.8,1.14,0.01,22.8,61.01,50.6,10820.0,5154.94,2200
B100  |  VolSpike,B100,VolSpike,1,-48.45,-10.19,-72.22,-0.25,263,46.8,1.14,0.01,22.8,61.01,50.6,10820.0,5154.94,2200
B100  |  VolSpike + BBsqueeze,B100,VolSpike + BBsqueeze,2,-53.17,-11.58,-59.47,-0.68,211,44.1,1.32,0.08,23.7,60.41,50.7,8620.0,4683.02,919
MACDcross  |  VolSpike + BBsqueeze,MACDcross,VolSpike + BBsqueeze,2,-55.25,-12.23,-70.09,-0.59,229,39.3,1.4,-0.28,22.7,39.89,48.9,9460.0,4475.09,1057
B50  |  VolSpike,B50,VolSpike,1,-56.12,-12.51,-75.57,-0.35,273,48.0,1.23,0.45,22.4,64.8,50.2,11340.0,4387.71,2805
B50  |  VolSpike + RSIbull,B50,VolSpike + RSIbull,2,-56.12,-12.51,-75.57,-0.35,273,48.0,1.23,0.45,22.4,64.8,50.2,11340.0,4387.71,2805
B50  |  SMA200 + VolSpike,B50,SMA200 + VolSpike,2,-60.71,-14.06,-78.41,-0.4,285,48.1,1.26,0.55,21.9,65.65,49.1,11720.0,3929.05,2616
B100  |  SMA200 + VolSpike,B100,SMA200 + VolSpike,2,-69.35,-17.45,-85.71,-0.52,239,45.2,1.22,0.03,23.6,81.58,50.6,9800.0,3064.78,2192
MACDcross  |  VolSpike,MACDcross,VolSpike,1,-72.01,-18.66,-75.97,-0.67,230,46.1,1.35,0.5,24.7,79.13,57.0,9500.0,2798.62,1842
MACDcross  |  VolSpike + TrendAlign,MACDcross,VolSpike + TrendAlign,2,-72.91,-19.09,-78.18,-0.72,163,38.0,1.24,-0.9,25.3,49.28,52.1,6780.0,2708.87,884
MACDcross  |  VolSpike + RSIbull,MACDcross,VolSpike + RSIbull,2,-73.65,-19.45,-84.3,-0.64,232,42.7,1.13,-0.58,24.3,51.23,53.9,9680.0,2634.99,1355
MACDcross  |  SMA200 + VolSpike,MACDcross,SMA200 + VolSpike,2,-75.08,-20.18,-75.26,-0.72,199,43.7,1.17,-0.28,26.0,43.22,57.8,8400.0,2491.82,1396
B50  |  VolSpike + BBsqueeze,B50,VolSpike + BBsqueeze,2,-75.22,-20.25,-76.96,-1.3,232,44.0,1.21,-0.12,23.2,34.45,48.3,9420.0,2478.1,1170
