Signal,Fee_€,Rendite_%,CAGR_%,MaxDD_%,Sharpe,N_Trades,N_Earned,N_Tight,Hit_%,Payoff,Expect_%,AvgHold_d,MaxWin_%,Fees_€,Endkap_€,Sig/Jahr
Breakout_50,20.0,-84.47,-26.07,-88.4,-0.78,265,128,137,44.9,1.13,-0.29,21.6,59.87,10880.0,1553.0,2238
Breakout_50,2.0,23.94,3.54,-30.13,0.27,383,171,212,49.1,1.09,0.18,19.0,81.58,1544.0,12393.54,2238
Breakout_100,20.0,-93.98,-36.61,-95.1,-1.29,238,119,119,43.7,1.1,-0.58,22.8,44.92,9780.0,601.52,1818
Breakout_100,2.0,37.14,5.26,-27.62,0.33,358,164,194,47.5,1.17,0.21,20.0,81.58,1446.0,13714.47,1818
RSI_Dip_Bull,20.0,38.26,5.4,-34.75,0.34,271,154,117,47.6,1.98,2.82,27.2,181.65,10980.0,13826.5,950
RSI_Dip_Bull,2.0,144.22,15.58,-32.54,0.79,271,154,117,47.6,1.96,2.78,27.2,181.65,1098.0,24422.16,950
Double_Oversold,20.0,119.84,13.63,-37.62,0.7,218,132,86,48.6,1.6,1.74,30.9,140.84,9160.0,21984.3,503
Double_Oversold,2.0,210.84,20.19,-33.98,1.04,218,132,86,48.6,1.61,1.76,30.9,137.67,916.0,31083.64,503
MACD_Crossover,20.0,-61.72,-14.42,-79.63,-0.42,305,143,162,50.2,1.26,0.82,20.4,62.28,12460.0,3828.03,1688
MACD_Crossover,2.0,45.18,6.23,-29.51,0.38,400,170,230,50.5,1.05,0.23,18.4,62.84,1614.0,14518.0,1688
