amp,vol,adx,kombination,n_trades,hit_%,payoff,profit_factor,avg_win_%,avg_loss_%,avg_hold_d,max_win_%,max_loss_%,gross_ret_%,net_ret_%,earned_%,stall_exit_%
0.05,1.5,,Amp≥5% + Vol≥1.5×,1095,34.15525114155251,2.883965533655979,1.4959821214803553,10.278841559430548,-3.564134674799718,17.53972602739726,84.68032057285984,-30.678159341044807,1274.5456426964283,-915.4543573035717,39.63470319634703,56.073059360730596
0.05,1.5,20.0,Amp≥5% + Vol≥1.5× + ADX≥20,1070,34.018691588785046,2.8862908820775686,1.4881159788615226,10.312527817920312,-3.5729343435050094,17.59252336448598,84.68032057285984,-30.678159341044807,1231.2684792084565,-908.7315207915433,39.4392523364486,55.887850467289724
0.05,2.0,20.0,Amp≥5% + Vol≥2.0× + ADX≥20,746,32.975871313672926,2.9993862165320864,1.4756980185337865,10.348955025163614,-3.4503575992054656,18.315013404825738,84.68032057285984,-30.678159341044807,820.6641365875163,-671.3358634124838,38.47184986595174,56.83646112600537
0.05,,20.0,Amp≥5% + ADX≥20,1327,33.91107761868877,2.875338199887232,1.4753730786194463,11.265608187008098,-3.918011518592813,17.34212509419744,123.99496570001367,-30.678159341044807,1633.4275823477483,-1020.572417652252,37.52825923134891,55.16201959306707
0.05,,,Amp≥5%,1364,34.01759530791789,2.8569532396783686,1.4729181146786257,11.09655120756093,-3.8840506919917814,17.215542521994134,123.99496570001367,-30.678159341044807,1653.1541375156676,-1074.8458624843329,37.903225806451616,55.49853372434017
0.05,2.0,,Amp≥5% + Vol≥2.0×,759,32.80632411067194,2.999630236071801,1.464525350552703,10.372263121904604,-3.4578472363606108,18.197628458498023,84.68032057285984,-30.678159341044807,819.1914268103349,-698.808573189665,38.20816864295125,56.916996047430835
0.05,,25.0,Amp≥5% + ADX≥25,1174,32.96422487223168,2.9215872501169198,1.436663616004127,11.497062563223103,-3.935211095531376,17.344122657580918,123.99496570001367,-30.678159341044807,1352.3520797841475,-995.6479202158527,37.22316865417377,55.36626916524702
0.05,1.5,25.0,Amp≥5% + Vol≥1.5× + ADX≥25,937,33.51120597652081,2.79909002029578,1.4107773136001203,10.15800333956789,-3.6290377465225263,17.71504802561366,84.68032057285984,-30.678159341044807,928.7225325407837,-945.2774674592162,39.48772678762006,55.28281750266809
0.01,,,Amp≥1%,6059,34.26307971612477,2.6479986161899385,1.3801770341979194,7.3619347692016435,-2.7801882992651756,16.80904439676514,127.38109626060292,-37.39991487599708,4209.8865848894175,-7908.113415110582,39.74253177091929,53.226605050338335
0.05,2.0,25.0,Amp≥5% + Vol≥2.0× + ADX≥25,655,32.06106870229007,2.9241014794806164,1.379913057732426,10.283717360225022,-3.5168811453327646,18.39236641221374,84.68032057285984,-30.678159341044807,594.5685359741739,-715.4314640258259,38.3206106870229,56.18320610687023
