signal,ticker,entry_date,exit_date,entry_price,exit_price,return,hold_days,win
Breakout_50,AAPL,2020-05-11,2020-09-21,74.6465,101.4945,0.3596686846386008,92,True
Breakout_50,AAPL,2020-12-16,2021-02-18,123.9116,125.8402,0.015564401384372095,42,True
Breakout_50,AAPL,2021-07-01,2021-09-20,133.2738,140.5087,0.05428615471815834,55,True
Breakout_50,AAPL,2021-11-19,2022-01-20,154.2665,163.3962,0.0591815333859238,41,True
Breakout_50,AAPL,2022-03-30,2022-04-12,174.9405,164.6234,-0.05897490692052332,9,False
Breakout_50,AAPL,2022-08-01,2022-09-06,157.9869,153.7454,-0.026847181394120567,25,False
Breakout_50,AAPL,2023-02-06,2023-08-07,150.162,179.7775,0.1972233227496596,125,True
Breakout_50,AAPL,2023-11-17,2024-01-03,188.2939,182.3259,-0.031694938195781175,30,False
Breakout_50,AAPL,2024-05-15,2024-08-06,186.4679,203.7244,0.09254428723785169,56,True
Breakout_50,AAPL,2024-10-16,2024-11-01,230.0886,219.5279,-0.04589816006083158,12,False
Breakout_50,AAPL,2024-12-02,2025-01-13,235.9809,232.2612,-0.015762589476303712,27,False
Breakout_50,AAPL,2025-08-11,2026-01-02,227.4864,272.0055,0.1956999791541334,100,True
Breakout_100,AAPL,2020-06-08,2020-09-21,80.013,101.4945,0.2684750480319902,73,True
Breakout_100,AAPL,2021-01-26,2021-02-18,139.6571,125.8402,-0.09893431448127332,16,False
Breakout_100,AAPL,2021-07-06,2021-09-20,136.6593,140.5087,0.028167962851050943,53,True
Breakout_100,AAPL,2021-11-19,2022-01-20,154.2665,163.3962,0.0591815333859238,41,True
Breakout_100,AAPL,2023-03-21,2023-08-07,155.0734,179.7775,0.15930556255803863,95,True
Breakout_100,AAPL,2023-12-14,2024-01-03,195.984,182.3259,-0.06968987509077573,12,False
Breakout_100,AAPL,2024-06-06,2024-08-06,194.1881,203.7244,0.04910843341626814,41,True
Breakout_100,AAPL,2024-12-02,2025-01-13,235.9809,232.2612,-0.015762589476303712,27,False
