ticker,trough_date,peak_date,wait_days,decision_date,rem_ret_pct,rest_dd_pct,rem_tq,total_ret,dist_sma200_dec,atr_pct_dec,snap_atr_pct,delta_atr_pct,snap_bb_width,delta_bb_width,snap_dist_sma200,delta_dist_sma200,snap_rsi14,delta_rsi14,snap_vol_spike,delta_vol_spike,snap_dist_sma50,delta_dist_sma50,snap_dist_sma20,delta_dist_sma20,snap_macd_hist_norm,delta_macd_hist_norm,wait_days_key
AAPL,2020-04-21,2020-07-20,0,2020-04-21,47.0,4.8,9.7889,47.0,0.0554,0.0375,0.037488232381828766,0.0,0.23202113449981754,0.0,0.055365839543473495,0.0,49.74298726557784,0.0,0.9626087332980963,0.0,-0.03020554054750891,0.0,0.022282278502038354,0.0,0.011944184187883995,0.0,0
AAPL,2020-07-24,2020-09-01,0,2020-07-24,45.14,3.8,11.8736,45.14,0.252,0.0278,0.02783026590498054,0.0,0.12362655884081082,0.0,0.2519636189363506,0.0,50.07424702145502,0.0,1.4001861087712442,0.0,0.05563955447834929,0.0,-0.018366804537077265,0.0,-0.008081908471796411,0.0,0
AAPL,2020-11-23,2020-12-28,0,2020-11-23,20.06,2.09,9.5972,20.06,0.2189,0.0274,0.027393861679483062,0.0,0.13123647813578404,0.0,0.218944274261644,0.0,44.36930298842465,0.0,1.1179298370256263,0.0,-0.012146226961080968,0.0,-0.01857731127837879,0.0,-0.0013943179841161611,0.0,0
AAPL,2021-03-08,2021-04-19,0,2021-03-08,15.88,4.52,3.5172,15.88,0.0225,0.0392,0.03920709523075667,0.0,0.2142258517774112,0.0,0.02251630740053771,0.0,31.64647500609098,0.0,1.3955666595054688,0.0,-0.11240707224853926,0.0,-0.08907289293111421,0.0,-0.009323099414591321,0.0,0
AAPL,2021-05-12,2021-09-07,0,2021-05-12,27.82,4.49,6.1932,27.82,0.0018,0.0242,0.024186552584149323,0.0,0.11074342247760276,0.0,0.0017503140847021069,0.0,35.488950586827315,0.0,1.1950849636101586,0.0,-0.030600868891035374,0.0,-0.06438543838995604,0.0,-0.010063706431501866,0.0,0
AAPL,2021-10-04,2021-12-10,0,2021-10-04,29.16,3.17,9.2047,29.16,0.0324,0.0213,0.021309432478101218,0.0,0.1345324359351265,0.0,0.032417570911694865,0.0,34.12497836014023,0.0,1.1037749638125893,0.0,-0.05813356277496145,0.0,-0.05210246606031529,0.0,-0.005964623481263078,0.0,0
AAPL,2024-11-04,2024-12-26,0,2024-11-04,16.8,2.14,7.8419,16.8,0.0988,0.0176,0.017640780052940407,0.0,0.07222556147811775,0.0,0.09884187118515564,0.0,38.30145679128072,0.0,1.077809761642999,0.0,-0.022142685352939378,0.0,-0.0366365840234593,0.0,-0.006499644408296106,0.0,0
AAPL,2025-09-10,2025-12-02,0,2025-09-10,26.31,4.96,5.3093,26.31,0.0261,0.0194,0.019350820159962298,0.0,0.07852569701187459,0.0,0.026104756303482076,0.0,48.13387265282572,0.0,1.709741395897029,0.0,0.030326007483980993,0.0,-0.021647246577854752,0.0,-0.0032906791711255425,0.0,0
ABBV,2021-03-24,2021-08-31,0,2021-03-24,19.94,4.96,4.0229,19.94,0.0627,0.0233,0.02332207704503276,0.0,0.08053301997417409,0.0,0.06273401379800693,0.0,41.09539077304536,0.0,1.2497023365338376,0.0,-0.03683351235631132,0.0,-0.03434522736577542,0.0,-0.004816574507126917,0.0,0
ABBV,2024-07-03,2024-09-10,0,2024-07-03,22.79,2.82,8.0817,22.79,0.03,0.0197,0.019675127070232078,0.0,0.06001891377196894,0.0,0.02998179138097654,0.0,42.812648456337094,0.0,0.5759031954986952,0.0,-0.0050017755929615245,0.0,-0.031022823110523203,0.0,-0.004215496058458446,0.0,0
