Breadth,RotFak,Rendite_%,CAGR_%,MaxDD_%,Sharpe,N_Trades,N_Rotations,Hit_%,Payoff,ProfitFactor,EV_%,AvgHold_d,Fees_€,InvestPct_%,EndKap_€
0.0,1.5,20.52,3.08,-45.3,0.25,145,54,36.6,2.09,1.2,0.48,18.7,5800.0,93.2,12052.0
0.3,1.5,5.95,0.94,-50.0,0.15,131,52,32.8,2.32,1.13,0.31,17.8,5240.0,79.1,10595.0
0.0,2.0,1.34,0.22,-47.5,0.12,130,36,38.5,1.74,1.09,0.23,20.5,5200.0,92.9,10134.0
0.4,2.0,-6.02,-1.0,-48.7,0.04,108,31,33.3,2.07,1.04,0.09,20.9,4320.0,78.2,9398.0
0.3,2.0,-9.72,-1.65,-50.1,0.01,113,31,33.6,2.01,1.02,0.05,20.4,4520.0,78.2,9028.0
0.4,1.5,-14.07,-2.43,-48.6,-0.02,125,52,29.6,2.1,0.88,-0.3,18.3,5000.0,78.5,8593.0
0.4,999.0,-14.68,-2.55,-35.4,-0.08,76,0,30.3,1.92,0.83,-0.55,28.7,3040.0,76.9,8532.0
0.2,1.5,-16.03,-2.8,-50.5,-0.04,135,56,30.4,2.03,0.88,-0.29,17.8,5400.0,82.6,8397.0
0.3,999.0,-20.89,-3.73,-39.3,-0.14,81,0,33.3,1.55,0.78,-0.73,27.3,3240.0,77.3,7911.0
0.0,1.2,-22.08,-3.97,-47.1,-0.05,177,86,29.9,1.79,0.76,-0.58,14.9,7080.0,93.2,7792.0
0.2,999.0,-27.06,-4.99,-44.1,-0.22,84,0,31.0,1.63,0.73,-0.89,27.0,3360.0,80.8,7294.0
0.5,999.0,-27.79,-5.15,-51.7,-0.23,73,0,31.5,1.47,0.67,-1.15,29.0,2920.0,75.0,7221.0
0.2,2.0,-29.67,-5.56,-50.8,-0.2,120,33,30.0,1.98,0.85,-0.42,19.7,4800.0,81.6,7033.0
0.5,1.5,-34.34,-6.6,-59.3,-0.22,126,54,29.4,1.8,0.75,-0.66,16.7,5040.0,72.6,6566.0
0.3,1.2,-36.94,-7.21,-52.2,-0.23,165,82,29.1,1.67,0.68,-0.79,13.6,6600.0,78.8,6306.0
0.3,2.5,-37.97,-7.46,-46.8,-0.31,109,23,30.3,1.72,0.75,-0.76,21.1,4360.0,78.4,6203.0
0.4,1.2,-39.78,-7.91,-54.5,-0.26,160,80,25.6,1.86,0.64,-0.91,13.7,6400.0,78.7,6022.0
0.4,2.5,-40.55,-8.1,-48.7,-0.35,104,21,28.8,1.72,0.7,-0.91,21.6,4160.0,78.3,5945.0
0.3,3.0,-41.64,-8.37,-49.0,-0.38,108,19,31.5,1.62,0.75,-0.79,21.3,4320.0,78.2,5836.0
0.2,2.5,-41.75,-8.4,-49.8,-0.36,113,25,29.2,1.74,0.72,-0.85,20.9,4520.0,81.9,5825.0
0.2,1.2,-41.8,-8.42,-56.1,-0.28,169,83,27.8,1.69,0.65,-0.89,13.6,6760.0,82.0,5820.0
0.0,2.5,-41.83,-8.42,-53.9,-0.34,123,26,32.5,1.51,0.73,-0.8,21.5,4920.0,93.1,5817.0
0.5,2.0,-44.19,-9.04,-55.4,-0.38,108,32,28.7,1.67,0.67,-0.98,19.7,4320.0,72.9,5581.0
0.2,3.0,-44.58,-9.14,-49.9,-0.42,112,21,30.4,1.65,0.72,-0.88,21.1,4480.0,81.7,5542.0
0.4,3.0,-50.59,-10.82,-55.3,-0.54,101,16,27.7,1.63,0.62,-1.25,22.3,4040.0,78.1,4941.0
0.5,2.5,-52.92,-11.52,-59.4,-0.53,98,22,26.5,1.47,0.53,-1.55,21.7,3920.0,73.5,4708.0
0.0,3.0,-53.03,-11.55,-57.9,-0.53,118,19,31.4,1.35,0.61,-1.24,22.6,4720.0,93.0,4697.0
0.5,3.0,-56.26,-12.57,-60.5,-0.62,99,19,27.3,1.43,0.54,-1.58,21.5,3960.0,73.5,4374.0
0.0,999.0,-57.88,-13.1,-65.2,-0.7,99,0,29.3,1.38,0.57,-1.6,27.0,3960.0,94.1,4212.0
0.5,1.2,-62.41,-14.69,-70.6,-0.55,154,82,28.6,1.26,0.5,-1.36,13.4,6160.0,72.2,3759.0
